Title,Publication,Bit,Quantizer,Finetune,Task,Special
Fully integer-based quantization for mobile convolutional neural network inference,Neurocomputing 2021,,,,,
S^3: Sign-Sparse-Shift Reparametrization for Effective Training of Low-bit Shift Networks,NeurIPS 2021,T,,,C,
BatchQuant: Quantized-for-all Architecture Search with Robust Quantizer,NeurIPS 2021,MP,,QAT,C,
CBP: backpropagation with constraint on weight precision using a pseudo-Lagrange multiplier method[PyTorch],NeurIPS 2021,B/T/Uni,,QAT,C,
"Divergence Frontiers for Generative Models: Sample Complexity, Quantization Effects, and Frontier Integrals",NeurIPS 2021,B/Uni,,,C,
Learning Frequency Domain Approximation for Binary Neural Networks,NeurIPS 2021,B,,QAT,C,
Post-Training Quantization for Vision Transformer,NeurIPS 2021,Uni,,PTQ,C,
Post-Training Sparsity-Aware Quantization[PyTorch]:star:5,NeurIPS 2021,Uni,,PTQ,C,
Qimera: Data-free Quantization with Synthetic Boundary Supporting Samples[PyTorch]:star:2,NeurIPS 2021,Uni,,,C,
Qu-ANTI-zation: Exploiting Quantization Artifacts for Achieving Adversarial Outcomes[PyTorch]:star:2,NeurIPS 2021,Uni,,QAT,C,
QuPeD: Quantized Personalization via Distillation with Applications to Federated Learning,NeurIPS 2021,B/Uni,,QAT,C,
VQ-GNN: A Universal Framework to Scale up Graph Neural Networks using Vector Quantization,NeurIPS 2021,MP,PQ,QAT,Node Classification,
Beyond Preserved Accuracy: Evaluating Loyalty and Robustness of BERT Compression,EMNLP 2021,Uni,,QAT/PTQ,N,
Compressing Word Embeddings via Deep Compositional Code Learning:fire:89[PyTorch]:star:81,EMNLP 2021,MP,,,N,
Matching-oriented Embedding Quantization For Ad-hoc Retrieval[PyTorch],EMNLP 2021,MP,PQ,QAT,N,
Understanding and Overcoming the Challenges of Efficient Transformer Quantization[PyTorch]:star:9,EMNLP 2021,Uni,,QAT/PTQ,N,
Fully Quantized Image Super-Resolution Networks,MM 2021,,,,,
VQMG: Hierarchical Vector Quantised and Multi-hops Graph Reasoning for Explicit Representation Learning,MM 2021,,,,,
Cluster-Promoting Quantization With Bit-Drop for Minimizing Network Quantization Loss,ICCV 2021,T/Uni,LQ,,C,
Distance-Aware Quantization,ICCV 2021,B/T/Uni,LQ,QAT,C,
Dynamic Network Quantization for Efficient Video Inference,ICCV 2021,MP,,,Video Recognition,
Generalizable Mixed-Precision Quantization via Attribution Rank Preservation[PyTorch]:star:15,ICCV 2021,MP,LQ,QAT,C,
Improving Low-Precision Network Quantization via Bin Regularization,ICCV 2021,B/T/Uni,LQ,QAT,C,
Improving Neural Network Efficiency via Post-Training Quantization With Adaptive Floating-Point[PyTorch],ICCV 2021,MP,Linear,PTQ,C,
Integer-Arithmetic-Only Certified Robustness for Quantized Neural Networks,ICCV 2021,Uni,Linear,QAT,C,
MixMix: All You Need for Data-Free Compression Are Feature and Data Mixing,ICCV 2021,Uni,Linear,QAT/PTQ,C/O,
Once Quantization-Aware Training: High Performance Extremely Low-Bit Architecture Search[PyTorch]:star:19,ICCV 2021,Uni,,QAT,C,
Product Quantizer Aware Inverted Index for Scalable Nearest Neighbor Search,ICCV 2021,MP,PQ,QAT,C,
RMSMP: A Novel Deep Neural Network Quantization Framework With Row-Wise Mixed Schemes and Multiple Precisions,ICCV 2021,MP,,QAT/PTQ,C/N,
ReCU: Reviving the Dead Weights in Binary Neural Networks,ICCV 2021,B,,,C,
Self-Supervised Product Quantization for Deep Unsupervised Image Retrieval[PyTorch]:star:22,ICCV 2021,Uni,PQ,QAT,C,
Sub-bit Neural Networks: Learning to Compress and Accelerate Binary Neural Networks[PyTorch]:star:7,ICCV 2021,B,,,C,
Towards Mixed-Precision Quantization of Neural Networks via Constrained Optimization,ICCV 2021,MP,Linear,PTQ,C,
1-bit Adam: Communication Efficient Large-Scale Training with Adam’s Convergence Speed,ICML 2021,B,,,C/N,
Accurate Post Training Quantization With Small Calibration Sets[PyTorch]:star:14,ICML 2021,MP,,PTQ,C/N,
